	region
14328x19671	0.0
14016x19851	0.0
14328x20030	0.0
14016x20209	0.0
14328x20389	0.0
14016x20568	0.0
14328x20747	0.0
14016x20927	0.0
14328x21106	0.0
14016x21286	0.0
14329x21465	0.0
14016x21645	0.0
14329x21824	0.0
14017x22004	0.0
14329x22183	0.0
14017x22362	0.0
14329x22542	0.0
14017x22721	0.0
14329x22901	0.0
14017x23080	0.0
14329x23259	0.0
14017x23439	0.0
14330x23618	0.0
14017x23798	0.0
14330x23977	0.0
14018x24157	0.0
14330x24336	0.0
14018x24516	0.0
14330x24695	0.0
14018x24874	0.0
14330x25054	0.0
14018x25233	0.0
14330x25413	0.0
14946x6393	1.0
14634x6573	1.0
14946x6752	1.0
14634x6931	1.0
14946x7111	1.0
14634x7290	1.0
14946x7470	1.0
14634x7649	1.0
14947x7828	1.0
14634x8008	1.0
14947x8187	1.0
14635x8367	1.0
14947x8546	1.0
14635x8726	1.0
14947x8905	1.0
14635x9085	1.0
14947x9264	1.0
14635x9443	0.0
14947x9623	0.0
14635x9802	0.0
14948x9982	0.0
14635x10161	0.0
14948x10340	0.0
14636x10520	0.0
14948x10699	0.0
14636x10879	0.0
14948x11058	0.0
14636x11238	0.0
14948x11417	0.0
14636x11597	0.0
14948x11776	0.0
14636x11955	0.0
14949x12135	0.0
14636x12314	0.0
14949x12494	0.0
14637x12673	0.0
14949x12852	0.0
14637x13032	0.0
14949x13211	0.0
14637x13391	0.0
14949x13570	0.0
14637x13750	0.0
14949x13929	0.0
14637x14109	0.0
14950x14288	0.0
14637x14467	0.0
14950x14647	0.0
14638x14826	0.0
14950x15006	0.0
14638x15185	0.0
14950x15364	0.0
14638x15544	0.0
14950x15723	0.0
14638x15903	0.0
14950x16082	0.0
14638x16262	0.0
14951x16441	0.0
14638x16621	0.0
14951x16800	0.0
14639x16979	0.0
14951x17159	0.0
14639x17338	0.0
14951x17518	0.0
14639x17697	0.0
14951x17876	0.0
14639x18056	0.0
14951x18235	0.0
14639x18415	0.0
14952x18594	0.0
14639x18774	0.0
14952x18953	0.0
14640x19133	0.0
14952x19312	0.0
14640x19491	0.0
14952x19671	0.0
14640x19850	0.0
14952x20029	0.0
14640x20209	0.0
14952x20388	0.0
14640x20568	0.0
14953x20747	0.0
14641x20927	0.0
14953x21106	0.0
14641x21286	0.0
14953x21465	0.0
14641x21644	0.0
14953x21824	0.0
14641x22003	0.0
14953x22183	0.0
14641x22362	0.0
14953x22541	0.0
14641x22721	0.0
14954x22900	0.0
14642x23080	0.0
14954x23259	0.0
14642x23439	0.0
14954x23618	0.0
14642x23798	0.0
14954x23977	0.0
14642x24156	0.0
14954x24336	0.0
14642x24515	0.0
